Time,Day,Activity
660,1,1
680,1,1
700,1,1
720,1,1
520,1,2
540,1,2
560,1,2
580,1,2
600,1,2
620,1,3
640,1,3
660,1,1
680,1,1
700,1,1
720,1,1
640,1,1
660,1,1
780,1,4
800,1,2
820,1,3
840,1,2
860,1,2
970,1,2
1008,1,3
514,1,4
600,1,3
625,1,3
640,1,1
733,1,4
740,1,4
760,1,4
1004,1,4
580,2,2
600,2,3
620,2,3
640,2,3
661,2,4
684,2,3
700,2,3
720,2,3
760,2,4
780,2,3
957,2,3
960,2,3
980,2,3
1000,2,3
1020,2,3
1116,2,4
546,2,3
560,2,3
542,2,2
602,2,4
640,2,3
660,2,3
680,2,3
700,2,3
720,2,3
740,2,4
800,2,3
800,2,3
820,2,3
840,2,3
860,2,3
880,2,3
511,3,4
520,3,4
540,3,3
560,3,3
600,3,2
620,3,2
640,3,1
714,3,1
740,3,4
760,3,4
780,3,3
940,3,3
960,3,3
980,3,3
1000,3,3
540,3,3
560,3,3
580,3,2
600,3,3
620,3,3
640,3,1
660,3,1
660,3,1
740,3,4
760,3,3
780,3,3
800,3,3
820,3,3
859,3,4
900,3,3
960,3,3
480,4,3
481,4,3
500,4,3
520,4,3
540,4,3
560,4,3
580,4,2
600,4,2
620,4,3
640,4,3
660,4,3
680,4,3
700,4,3
740,4,4
760,4,3
780,4,3
800,4,3
820,4,3
840,4,3
860,4,3
900,4,3
920,4,3
940,4,3
960,4,3
980,4,3
496,4,4
540,4,2
486,5,3
500,5,3
520,5,3
540,5,3
560,5,3
580,5,2
600,5,3
940,5,3
961,5,3
560,5,3
580,5,3
620,5,3
740,4,3
760,4,3
780,4,3
817,4,4
820,4,4
940,2,3
960,2,3
980,2,3
1001,2,3
640,2,3
826,2,2
800,2,3
957,1,3
960,1,3
480,1,4
660,1,1
680,1,1
700,1,1
720,1,1
761,1,4
780,1,3
801,1,3
820,1,3
840,1,3
860,1,3
880,1,3
900,1,3
920,1,3
560,1,3
583,1,3
600,1,2
625,1,3
780,1,2
800,1,3
820,1,3
840,1,3
860,1,3
993,1,3
900,2,3
940,2,3
960,2,3
980,2,3
1000,2,3
500,2,4
551,2,4
620,2,2
645,2,2
680,2,3
820,2,3
860,2,3
880,2,3
900,2,4
820,2,3
840,2,3
860,2,4
881,2,3
900,2,3
922,2,3
1020,3,3
1040,3,3
518,3,3
542,3,3
580,3,3
600,3,2
620,3,3
640,3,1
660,3,1
729,3,4
741,3,4
778,3,3
780,3,3
820,3,3
840,3,3
860,3,3
880,3,3
900,3,3
920,3,3
940,3,3
960,3,3
1000,3,3
800,3,3
820,3,3
840,3,3
860,3,3
900,3,3
920,3,3
580,4,2
600,4,2
620,4,3
640,4,3
660,4,3
680,4,3
701,4,3
720,4,3
837,4,3
840,4,3
860,4,3
880,4,3
900,4,3
947,4,3
601,4,2
640,4,3
620,5,3
640,5,2
688,5,3
700,5,3
748,5,3
822,5,4
860,5,2
880,5,2
920,5,3
1080,1,4
1140,1,4
1200,1,4
1260,1,4
1320,1,4
1380,1,4
0,1,4
60,1,4
120,1,4
180,1,4
240,1,4
300,1,4
360,1,4
420,1,4
1080,2,4
1140,2,4
1200,2,4
1260,2,4
1320,2,4
1380,2,4
0,2,4
60,2,4
120,2,4
180,2,4
240,2,4
300,2,4
360,2,4
420,2,4
1080,3,4
1140,3,4
1200,3,4
1260,3,4
1320,3,4
1380,3,4
0,3,4
60,3,4
120,3,4
180,3,4
240,3,4
300,3,4
360,3,4
420,3,4
1080,4,4
1140,4,4
1200,4,4
1260,4,4
1320,4,4
1380,4,4
0,4,4
60,4,4
120,4,4
180,4,4
240,4,4
300,4,4
360,4,4
420,4,4
1080,5,4
1140,5,4
1200,5,4
1260,5,4
1320,5,4
1380,5,4
0,5,4
60,5,4
120,5,4
180,5,4
240,5,4
300,5,4
360,5,4
420,5,4
